                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.55007,                0.55309,                0.94055,                0.83941,                0.83952,                0.86107,                0.77246,                 0.4781,                0.60567,                0.91203,              0.0012575,              0.0012575,              0.0012575
                     78,                0.55529,                0.55362,                0.94904,                0.81231,                0.86465,                0.86474,                0.77421,                0.48438,                0.58181,                 0.9154,              0.0012476,              0.0012476,              0.0012476
                     79,                0.54893,                0.56897,                0.93982,                0.82054,                0.84343,                0.86236,                0.76931,                 0.4883,                0.56267,                0.91694,              0.0012377,              0.0012377,              0.0012377
                     80,                0.55525,                0.55516,                0.94836,                0.83023,                0.82989,                0.85981,                0.77125,                0.49342,                0.55493,                0.92069,              0.0012278,              0.0012278,              0.0012278
                     81,                0.55042,                 0.5299,                0.94808,                0.83455,                0.81818,                0.85328,                0.76493,                0.49185,                0.56664,                0.92082,              0.0012179,              0.0012179,              0.0012179
                     82,                0.55246,                0.54698,                0.94533,                0.79481,                0.86162,                0.85968,                0.77384,                0.47484,                0.56214,                0.91217,               0.001208,               0.001208,               0.001208
                     83,                0.54124,                0.53886,                0.94496,                0.85075,                0.83737,                0.86108,                0.78029,                0.47153,                0.54974,                0.90929,              0.0011981,              0.0011981,              0.0011981
                     84,                0.52014,                0.49993,                 0.9401,                0.81761,                0.87389,                0.85652,                0.76422,                0.48936,                0.61311,                0.92195,              0.0011882,              0.0011882,              0.0011882
                     85,                0.53541,                0.55078,                 0.9338,                0.81719,                0.87143,                0.86221,                0.77124,                0.48175,                0.54096,                0.91532,              0.0011783,              0.0011783,              0.0011783
                     86,                0.53916,                0.54466,                0.94624,                0.83101,                0.86162,                0.86243,                0.77351,                0.48687,                0.58202,                0.91913,              0.0011684,              0.0011684,              0.0011684
                     87,                0.54403,                0.51551,                 0.9361,                0.81112,                0.86263,                0.86079,                0.77413,                0.48611,                0.55983,                0.91102,              0.0011585,              0.0011585,              0.0011585
                     88,                0.54702,                0.53071,                0.94142,                0.82387,                0.84949,                0.86154,                 0.7737,                0.47393,                0.56417,                0.90707,              0.0011486,              0.0011486,              0.0011486
                     89,                0.54943,                0.53348,                0.94497,                0.83799,                0.81919,                0.86016,                0.76816,                0.50007,                0.56254,                0.92147,              0.0011387,              0.0011387,              0.0011387
                     90,                0.54503,                 0.5296,                0.93651,                0.81402,                0.85769,                0.86533,                0.77734,                0.48738,                0.55514,                0.91577,              0.0011288,              0.0011288,              0.0011288
                     91,                0.54299,                0.52457,                0.94633,                0.83301,                0.85051,                0.86699,                0.78131,                0.47811,                0.55732,                0.91235,              0.0011189,              0.0011189,              0.0011189
                     92,                0.52569,                0.50471,                0.93341,                0.83056,                0.85152,                0.86281,                0.77862,                 0.4838,                 0.6074,                0.91483,               0.001109,               0.001109,               0.001109
                     93,                0.52191,                0.51059,                0.93232,                0.84111,                0.83949,                0.86372,                0.77699,                 0.4784,                0.54049,                0.90913,              0.0010991,              0.0010991,              0.0010991
                     94,                0.54481,                0.53802,                0.93454,                0.85155,                0.83737,                0.86354,                0.76998,                0.49151,                0.53644,                0.91523,              0.0010892,              0.0010892,              0.0010892
                     95,                 0.5317,                0.54297,                 0.9415,                0.82388,                 0.8647,                 0.8651,                0.77664,                0.48663,                 0.5387,                0.90903,              0.0010793,              0.0010793,              0.0010793
                     96,                0.51542,                0.49821,                0.92407,                0.82191,                0.85313,                0.85278,                 0.7706,                0.48086,                0.59449,                0.91333,              0.0010694,              0.0010694,              0.0010694
                     97,                0.53068,                0.49786,                0.93246,                0.81917,                0.85253,                0.85914,                0.78098,                0.47173,                0.55684,                0.90789,              0.0010595,              0.0010595,              0.0010595
                     98,                0.52391,                0.52246,                0.92151,                0.82906,                0.86061,                0.86665,                0.77942,                0.47672,                  0.595,                0.91181,              0.0010496,              0.0010496,              0.0010496
                     99,                0.52185,                0.50112,                0.92069,                0.83033,                0.85516,                0.86875,                0.78588,                0.48046,                0.53975,                0.91349,              0.0010397,              0.0010397,              0.0010397
                    100,                0.52643,                0.52437,                0.92082,                0.80301,                0.89763,                0.86998,                0.78599,                0.47564,                0.53923,                0.91164,              0.0010298,              0.0010298,              0.0010298
                    101,                0.52182,                0.48419,                 0.9211,                0.83448,                0.86066,                0.87213,                0.78818,                0.46296,                 0.5302,                0.90354,              0.0010199,              0.0010199,              0.0010199
                    102,                0.52227,                0.51454,                0.93849,                0.84561,                0.84646,                0.86038,                0.77761,                 0.4645,                0.55302,                0.90375,                0.00101,                0.00101,                0.00101
                    103,                0.52535,                0.49734,                 0.9337,                0.82551,                0.86768,                0.86671,                 0.7802,                0.47123,                0.53764,                0.90432,              0.0010001,              0.0010001,              0.0010001
                    104,                0.52152,                0.50692,                0.93219,                 0.8367,                0.87071,                0.86322,                0.77926,                0.47356,                0.54798,                0.90838,              0.0009902,              0.0009902,              0.0009902
                    105,                0.51703,                0.48842,                0.91933,                0.84278,                0.83838,                0.86118,                0.77603,                0.47298,                0.56451,                0.90819,              0.0009803,              0.0009803,              0.0009803
                    106,                0.51722,                0.48444,                0.92098,                0.81335,                0.88035,                0.85592,                0.77219,                0.47787,                0.57826,                0.91003,              0.0009704,              0.0009704,              0.0009704
                    107,                0.51551,                0.50529,                0.93665,                 0.8221,                0.81685,                0.84974,                0.76504,                0.47403,                0.56377,                0.91196,              0.0009605,              0.0009605,              0.0009605
                    108,                0.53007,                0.50184,                0.93207,                0.82089,                0.87031,                0.86169,                 0.7748,                0.46985,                0.53656,                 0.9086,              0.0009506,              0.0009506,              0.0009506
                    109,                0.51663,                0.49741,                0.92453,                0.81744,                0.86841,                0.86555,                0.78269,                0.46522,                0.53484,                0.90501,              0.0009407,              0.0009407,              0.0009407
                    110,                0.53015,                0.49717,                0.93147,                 0.8281,                0.83636,                0.84782,                0.76531,                0.47044,                0.65081,                0.91245,              0.0009308,              0.0009308,              0.0009308
                    111,                0.50075,                0.47901,                0.92063,                0.83158,                0.84784,                 0.8624,                0.78146,                0.46359,                0.54394,                0.90504,              0.0009209,              0.0009209,              0.0009209
